time vx vy vz fp_x fp_y fp_z fv_x fv_y fv_z fb_x fb_y fb_z ff_x ff_y ff_z porosity rx ry rz fvelx fvely fvelz
0.0333421 0 0 0 0 0 -68.8966 -68.8966 -44.5079 0 2475.68 -2322.55 0 0 0 0 0.760596 0.636905 0.982143 0 0.839188 1.36517 0.952208
0.0333421 0 0 0 0 0 -208.117 -208.117 -90.6984 0 4349.57 -1474.33 0 0 0 0 0.769587 0.636905 0.946429 0 2.40535 1.00059 0.9125
0.0333421 0 0 0 0 0 -97.5554 -97.5554 -139.475 0 6166.58 -443.04 0 0 0 0 0.770977 0.636905 0.910714 0 1.16019 0.705173 0.925316
0.0333421 0 0 0 0 0 -20.0338 -20.0338 41.7619 0 9358.56 -8072.72 0 0 0 0 0.764762 0.35119 0.0178571 0 2.20324 -2.76872 0.991295
0.0333421 0 0 0 0 0 -11.8583 -11.8583 120.982 0 9992.39 41.5723 0 0 0 0 0.76233 0.35119 0.0535714 0 2.98532 -3.34361 0.982264
0.0333421 0 0 0 0 0 11.8188 11.8188 146.542 0 9583.25 3441.63 0 0 0 0 0.760943 0.35119 0.0892857 0 3.1803 -3.17051 0.941873
0.0333421 0 0 0 0 0 24.3911 24.3911 117.153 0 8462.44 1668.96 0 0 0 0 0.758082 0.35119 0.125 0 2.74952 -2.42557 0.934302
0.0333421 0 0 0 0 0 11.8961 11.8961 22.288 0 8352.82 -1191.02 0 0 0 0 0.759273 0.35119 0.160714 0 2.07104 -0.951383 0.956815
0.0333421 0 0 0 0 0 68.5089 68.5089 -89.8934 0 9471.67 -1147.5 0 0 0 0 0.766526 0.35119 0.196429 0 0.559435 0.651123 0.973251
0.0333421 0 0 0 0 0 165.012 165.012 -149.601 0 11952 631.067 0 0 0 0 0.771442 0.35119 0.232143 0 -1.00645 1.39959 0.984959
0.0333421 0 0 0 0 0 229.703 229.703 -116.305 0 14844.3 1930.13 0 0 0 0 0.769217 0.35119 0.267857 0 -1.22941 0.644932 0.982736
0.0333421 0 0 0 0 0 182.794 182.794 -43.138 0 15309.1 2886.15 0 0 0 0 0.763379 0.35119 0.303571 0 0.369061 -0.830761 0.97235
0.0333421 0 0 0 0 0 11.6293 11.6293 44.4821 0 11598.7 3193.25 0 0 0 0 0.755538 0.35119 0.339286 0 3.13325 -2.40504 0.959223
0.0333421 0 0 0 0 0 -78.6156 -78.6156 116.607 0 6971.35 913.124 0 0 0 0 0.751625 0.35119 0.375 0 4.31923 -3.20205 0.988767
0.0333421 0 0 0 0 0 -35.3857 -35.3857 184.152 0 4700.64 -3456.29 0 0 0 0 0.75692 0.35119 0.410714 0 3.71676 -3.29255 0.97418
0.0333421 0 0 0 0 0 14.4091 14.4091 160.59 0 4532.92 -4709.77 0 0 0 0 0.762223 0.35119 0.446429 0 3.18421 -2.30762 0.957914
0.0333421 0 0 0 0 0 2.55465 2.55465 96.2599 0 2752.69 233.909 0 0 0 0 0.759213 0.35119 0.482143 0 3.41717 -1.1714 0.941122
0.0333421 0 0 0 0 0 8.58159 8.58159 107.496 0 -2175.38 8414.51 0 0 0 0 0.760125 0.35119 0.517857 0 3.39846 -0.83902 0.910649
0.0333421 0 0 0 0 0 35.5622 35.5622 118.987 0 -7432.82 12979.2 0 0 0 0 0.767347 0.35119 0.553571 0 2.81244 -0.404987 0.943387
0.0333421 0 0 0 0 0 73.2061 73.2061 53.0277 0 -10165.6 10504 0 0 0 0 0.763417 0.35119 0.589286 0 1.59687 0.685726 0.96885
0.0333421 0 0 0 0 0 151.817 151.817 -13.4767 0 -9881.54 4325.5 0 0 0 0 0.758364 0.35119 0.625 0 -0.183378 1.73387 0.96587
0.0333421 0 0 0 0 0 148.132 148.132 -2.71431 0 -7706.69 -477.079 0 0 0 0 0.760225 0.35119 0.660714 0 -0.720929 1.96982 0.97474
0.0333421 0 0 0 0 0 61.9722 61.9722 6.27913 0 -5144.33 -2132.86 0 0 0 0 0.763537 0.35119 0.696429 0 -0.0611296 2.11627 0.954376
0.0333421 0 0 0 0 0 22.6398 22.6398 -41.3039 0 -3592.49 -2018.37 0 0 0 0 0.761108 0.35119 0.732143 0 -0.131877 2.5791 0.970026
0.0333421 0 0 0 0 0 79.7219 79.7219 -113.364 0 -2331.69 -1375.12 0 0 0 0 0.76242 0.35119 0.767857 0 -1.52684 3.06492 0.951194
0.0333421 0 0 0 0 0 174.417 174.417 -112.424 0 -2322.92 -1061.88 0 0 0 0 0.760359 0.35119 0.803571 0 -3.08375 2.6033 0.941934
0.0333421 0 0 0 0 0 160.247 160.247 -43.2211 0 -3361.86 -1498.4 0 0 0 0 0.751893 0.35119 0.839286 0 -2.78095 1.40774 0.947406
0.0333421 0 0 0 0 0 -0.203556 -0.203556 -13.1866 0 -3347.85 -3326.17 0 0 0 0 0.748415 0.35119 0.875 0 -0.252208 0.694651 0.939653
0.0333421 0 0 0 0 0 -64.5804 -64.5804 -5.93058 0 -210.431 -7220.34 0 0 0 0 0.754034 0.35119 0.910714 0 1.31327 -0.0492617 0.89443
0.0333421 0 0 0 0 0 -17.9213 -17.9213 -8.98321 0 5132.27 -12906.2 0 0 0 0 0.761559 0.35119 0.946429 0 1.34218 -1.16526 0.922195
0.0333421 0 0 0 0 0 -17.7935 -17.7935 -11.0673 0 8394.1 -13990.9 0 0 0 0 0.76645 0.35119 0.982143 0 1.57878 -1.99412 0.998002
0.0333421 0 0 0 0 0 0.95992 0.95992 52.8382 0 9504.02 -7016.62 0 0 0 0 0.694436 0.386905 0.0178571 0 1.8499 -3.56358 0.955515
0.0333421 0 0 0 0 0 7.95607 7.95607 166.925 0 8965.08 -1164.31 0 0 0 0 0.693311 0.386905 0.0535714 0 2.2159 -4.69554 0.942033
0.0333421 0 0 0 0 0 13.058 13.058 211.458 0 6834.43 1808.53 0 0 0 0 0.693637 0.386905 0.0892857 0 2.35734 -4.63557 0.916528
0.0333421 0 0 0 0 0 -23.8005 -23.8005 162.112 0 5546.52 1413.98 0 0 0 0 0.692655 0.386905 0.125 0 2.61554 -3.31127 0.931289
